path,type,source,author,license,generation_command,sha256
templates/hd2d_wuxia/assets/enemy/ghost_l_idle_2.png,角色/敌人/NPC/FX 序列帧 PNG,generate_assets.py + gen_lib.py,DSEngine Authors,Apache-2.0,G1,21caeb06ae78842fac647a82532b876c7223c58db5a4f14e24c4f642ec5fb7a4
templates/hd2d_wuxia/assets/enemy/ghost_l_idle_3.png,角色/敌人/NPC/FX 序列帧 PNG,generate_assets.py + gen_lib.py,DSEngine Authors,Apache-2.0,G1,424fe5a2c9e7542d5052f1271a40babb55a756b414f35023b292ded8b1658940
templates/hd2d_wuxia/assets/enemy/ghost_l_idle_atlas.dsprite.json,图集描述/图集 PNG,gen_atlases.py,DSEngine Authors,Apache-2.0,G3,48b1837066dc9ddbd174d79523590691a9011a3f0ede14a9ed213a1ccfcadbc0
templates/hd2d_wuxia/assets/enemy/ghost_l_idle_atlas.png,图集描述/图集 PNG,gen_atlases.py,DSEngine Authors,Apache-2.0,G3,99d1bbee51ea8cca35ad22599426ee35b63ef96643e9ec7f370eaff92151f1e9
templates/hd2d_wuxia/assets/enemy/ghost_l_walk_0.png,角色/敌人/NPC/FX 序列帧 PNG,generate_assets.py + gen_lib.py,DSEngine Authors,Apache-2.0,G1,6a9a2223731b532dc70e0d1300243c75866ca6b9ab879ce8e2757b3bed90acd1
templates/hd2d_wuxia/assets/enemy/ghost_l_walk_1.png,角色/敌人/NPC/FX 序列帧 PNG,generate_assets.py + gen_lib.py,DSEngine Authors,Apache-2.0,G1,e724347cb48dc0034b2af6269dce5bc1fc33afa5a2fe242a940982d293674307
templates/hd2d_wuxia/assets/enemy/ghost_l_walk_2.png,角色/敌人/NPC/FX 序列帧 PNG,generate_assets.py + gen_lib.py,DSEngine Authors,Apache-2.0,G1,21caeb06ae78842fac647a82532b876c7223c58db5a4f14e24c4f642ec5fb7a4
templates/hd2d_wuxia/assets/enemy/ghost_l_walk_3.png,角色/敌人/NPC/FX 序列帧 PNG,generate_assets.py + gen_lib.py,DSEngine Authors,Apache-2.0,G1,424fe5a2c9e7542d5052f1271a40babb55a756b414f35023b292ded8b1658940
templates/hd2d_wuxia/assets/enemy/ghost_l_walk_4.png,角色/敌人/NPC/FX 序列帧 PNG,generate_assets.py + gen_lib.py,DSEngine Authors,Apache-2.0,G1,fca8cccbd1f1d1a4c225d715c6115aaac5aaa573fdcc6957384e0400f6bec517
templates/hd2d_wuxia/assets/enemy/ghost_l_walk_5.png,角色/敌人/NPC/FX 序列帧 PNG,generate_assets.py + gen_lib.py,DSEngine Authors,Apache-2.0,G1,1477e8b63afebf3be16626237049d8b7c112ec68496a5aac86d32595047aa0bb
templates/hd2d_wuxia/assets/enemy/ghost_l_walk_atlas.dsprite.json,图集描述/图集 PNG,gen_atlases.py,DSEngine Authors,Apache-2.0,G3,ff14f507f93c07d706f7ab0e61e3f1d562f27e7171817ca762dd17128c195a4b
templates/hd2d_wuxia/assets/enemy/ghost_l_walk_atlas.png,图集描述/图集 PNG,gen_atlases.py,DSEngine Authors,Apache-2.0,G3,e700bfc53ac37a74dac25e3f0fc940594f3ef601affdb21b3fb6b116d0e557de
templates/hd2d_wuxia/assets/enemy/ghost_r_attack_0.png,角色/敌人/NPC/FX 序列帧 PNG,generate_assets.py + gen_lib.py,DSEngine Authors,Apache-2.0,G1,5a4fb4e4962e7f2bbf3ddd9bb461a0c48c58291fe3ae723427a986905188cd85
templates/hd2d_wuxia/assets/enemy/ghost_r_attack_1.png,角色/敌人/NPC/FX 序列帧 PNG,generate_assets.py + gen_lib.py,DSEngine Authors,Apache-2.0,G1,b1ada1460d33017c33f3cd75c9d5ae884f67055a8f20660b7d9b1a8a41139c3f
templates/hd2d_wuxia/assets/enemy/ghost_r_attack_2.png,角色/敌人/NPC/FX 序列帧 PNG,generate_assets.py + gen_lib.py,DSEngine Authors,Apache-2.0,G1,431493806fc246ed10375472b8afdc173dfa13c0282046e99fda1d0c15841aac
templates/hd2d_wuxia/assets/enemy/ghost_r_attack_3.png,角色/敌人/NPC/FX 序列帧 PNG,generate_assets.py + gen_lib.py,DSEngine Authors,Apache-2.0,G1,5f41b0137aa8cc1890a4bc3d22716c32d672f295e862ee238a6c6260159b1dbe
templates/hd2d_wuxia/assets/enemy/ghost_r_attack_atlas.dsprite.json,图集描述/图集 PNG,gen_atlases.py,DSEngine Authors,Apache-2.0,G3,1e5b9d05e070baa1a3ab1484fc2dc31410874de69554153e7f3b5b462ec872a5
templates/hd2d_wuxia/assets/enemy/ghost_r_attack_atlas.png,图集描述/图集 PNG,gen_atlases.py,DSEngine Authors,Apache-2.0,G3,d70f49017c8a86b45d9c4f0acf0971c58eead315ba0518371d17a2f8dd0f18d7
templates/hd2d_wuxia/assets/enemy/ghost_r_die_0.png,角色/敌人/NPC/FX 序列帧 PNG,generate_assets.py + gen_lib.py,DSEngine Authors,Apache-2.0,G1,795f49c138d5c8b5234606017b050505da834708f4737fe87f07f9aed3eeb742
templates/hd2d_wuxia/assets/enemy/ghost_r_die_1.png,角色/敌人/NPC/FX 序列帧 PNG,generate_assets.py + gen_lib.py,DSEngine Authors,Apache-2.0,G1,bbe9b90e63c6c63313fd1c3a25c809872c6e1cbe9585b6589a3ceaaa7efa2548
templates/hd2d_wuxia/assets/enemy/ghost_r_die_2.png,角色/敌人/NPC/FX 序列帧 PNG,generate_assets.py + gen_lib.py,DSEngine Authors,Apache-2.0,G1,795f49c138d5c8b5234606017b050505da834708f4737fe87f07f9aed3eeb742
